O*NET-SOC Code	Element ID	Element Name	Scale ID	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Date	Domain Source
19-1011.00	1.C.1.a	Achievement/Effort	IM	4.13	23	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
19-1011.00	1.C.1.b	Persistence	IM	4.04	23	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
19-1011.00	1.C.1.c	Initiative	IM	4.26	23	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
19-1011.00	1.C.2.b	Leadership	IM	3.74	23	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
19-1011.00	1.C.3.a	Cooperation	IM	4.04	23	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
19-1011.00	1.C.3.b	Concern for Others	IM	3.13	23	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
19-1011.00	1.C.3.c	Social Orientation	IM	2.57	23	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
19-1011.00	1.C.4.a	Self-Control	IM	3.61	23	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
19-1011.00	1.C.4.b	Stress Tolerance	IM	3.61	23	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
19-1011.00	1.C.4.c	Adaptability/Flexibility	IM	4.04	23	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
19-1011.00	1.C.5.a	Dependability	IM	4.39	23	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
19-1011.00	1.C.5.b	Attention to Detail	IM	4.35	23	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
19-1011.00	1.C.5.c	Integrity	IM	4.57	23	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
19-1011.00	1.C.6	Independence	IM	3.74	23	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
19-1011.00	1.C.7.a	Innovation	IM	4.04	23	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
19-1011.00	1.C.7.b	Analytical Thinking	IM	4.65	23	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
19-1012.00	1.C.1.a	Achievement/Effort	IM	3.95	22	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
19-1012.00	1.C.1.b	Persistence	IM	4.09	22	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
19-1012.00	1.C.1.c	Initiative	IM	4.23	22	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
19-1012.00	1.C.2.b	Leadership	IM	3.23	22	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
19-1012.00	1.C.3.a	Cooperation	IM	4.14	22	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
19-1012.00	1.C.3.b	Concern for Others	IM	3.05	22	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
19-1012.00	1.C.3.c	Social Orientation	IM	2.55	22	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
19-1012.00	1.C.4.a	Self-Control	IM	3.77	22	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
19-1012.00	1.C.4.b	Stress Tolerance	IM	3.91	22	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
19-1012.00	1.C.4.c	Adaptability/Flexibility	IM	4.50	22	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
19-1012.00	1.C.5.a	Dependability	IM	4.55	22	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
19-1012.00	1.C.5.b	Attention to Detail	IM	4.59	22	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
19-1012.00	1.C.5.c	Integrity	IM	4.41	22	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
19-1012.00	1.C.6	Independence	IM	3.32	22	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
19-1012.00	1.C.7.a	Innovation	IM	4.00	22	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
19-1012.00	1.C.7.b	Analytical Thinking	IM	4.33	21	n/a	n/a	n/a	n/a	08/2025	Occupational Expert
19-1013.00	1.C.1.a	Achievement/Effort	IM	3.95	21	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1013.00	1.C.1.b	Persistence	IM	4.24	21	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1013.00	1.C.1.c	Initiative	IM	4.14	21	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1013.00	1.C.2.b	Leadership	IM	3.81	21	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1013.00	1.C.3.a	Cooperation	IM	4.19	21	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1013.00	1.C.3.b	Concern for Others	IM	3.24	21	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1013.00	1.C.3.c	Social Orientation	IM	2.86	21	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1013.00	1.C.4.a	Self-Control	IM	3.86	21	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1013.00	1.C.4.b	Stress Tolerance	IM	3.43	21	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1013.00	1.C.4.c	Adaptability/Flexibility	IM	3.90	21	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1013.00	1.C.5.a	Dependability	IM	4.24	21	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1013.00	1.C.5.b	Attention to Detail	IM	4.33	21	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1013.00	1.C.5.c	Integrity	IM	4.52	21	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1013.00	1.C.6	Independence	IM	3.90	21	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1013.00	1.C.7.a	Innovation	IM	3.76	21	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1013.00	1.C.7.b	Analytical Thinking	IM	4.40	20	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1021.00	1.C.1.a	Achievement/Effort	IM	4.60	20	n/a	n/a	n/a	n/a	08/2020	Occupational Expert
19-1021.00	1.C.1.b	Persistence	IM	4.85	20	n/a	n/a	n/a	n/a	08/2020	Occupational Expert
19-1021.00	1.C.1.c	Initiative	IM	4.55	20	n/a	n/a	n/a	n/a	08/2020	Occupational Expert
19-1021.00	1.C.2.b	Leadership	IM	3.60	20	n/a	n/a	n/a	n/a	08/2020	Occupational Expert
19-1021.00	1.C.3.a	Cooperation	IM	4.00	20	n/a	n/a	n/a	n/a	08/2020	Occupational Expert
19-1021.00	1.C.3.b	Concern for Others	IM	3.10	20	n/a	n/a	n/a	n/a	08/2020	Occupational Expert
19-1021.00	1.C.3.c	Social Orientation	IM	2.65	20	n/a	n/a	n/a	n/a	08/2020	Occupational Expert
19-1021.00	1.C.4.a	Self-Control	IM	4.05	20	n/a	n/a	n/a	n/a	08/2020	Occupational Expert
19-1021.00	1.C.4.b	Stress Tolerance	IM	4.15	20	n/a	n/a	n/a	n/a	08/2020	Occupational Expert
19-1021.00	1.C.4.c	Adaptability/Flexibility	IM	4.25	20	n/a	n/a	n/a	n/a	08/2020	Occupational Expert
19-1021.00	1.C.5.a	Dependability	IM	4.60	20	n/a	n/a	n/a	n/a	08/2020	Occupational Expert
19-1021.00	1.C.5.b	Attention to Detail	IM	4.75	20	n/a	n/a	n/a	n/a	08/2020	Occupational Expert
19-1021.00	1.C.5.c	Integrity	IM	4.95	19	n/a	n/a	n/a	n/a	08/2020	Occupational Expert
19-1021.00	1.C.6	Independence	IM	4.00	20	n/a	n/a	n/a	n/a	08/2020	Occupational Expert
19-1021.00	1.C.7.a	Innovation	IM	4.50	20	n/a	n/a	n/a	n/a	08/2020	Occupational Expert
19-1021.00	1.C.7.b	Analytical Thinking	IM	4.90	20	n/a	n/a	n/a	n/a	08/2020	Occupational Expert
19-1022.00	1.C.1.a	Achievement/Effort	IM	4.00	22	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
19-1022.00	1.C.1.b	Persistence	IM	4.00	22	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
19-1022.00	1.C.1.c	Initiative	IM	4.18	22	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
19-1022.00	1.C.2.b	Leadership	IM	3.45	22	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
19-1022.00	1.C.3.a	Cooperation	IM	4.09	22	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
19-1022.00	1.C.3.b	Concern for Others	IM	3.55	22	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
19-1022.00	1.C.3.c	Social Orientation	IM	2.73	22	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
19-1022.00	1.C.4.a	Self-Control	IM	3.86	22	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
19-1022.00	1.C.4.b	Stress Tolerance	IM	4.05	22	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
19-1022.00	1.C.4.c	Adaptability/Flexibility	IM	4.09	22	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
19-1022.00	1.C.5.a	Dependability	IM	4.59	22	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
19-1022.00	1.C.5.b	Attention to Detail	IM	4.73	22	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
19-1022.00	1.C.5.c	Integrity	IM	4.55	22	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
19-1022.00	1.C.6	Independence	IM	3.68	22	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
19-1022.00	1.C.7.a	Innovation	IM	3.41	22	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
19-1022.00	1.C.7.b	Analytical Thinking	IM	4.23	22	n/a	n/a	n/a	n/a	08/2024	Occupational Expert
19-1023.00	1.C.1.a	Achievement/Effort	IM	4.02	20	0.1612	3.6841	4.3590	N	08/2023	Incumbent
19-1023.00	1.C.1.b	Persistence	IM	4.15	20	0.1869	3.7569	4.5392	N	08/2023	Incumbent
19-1023.00	1.C.1.c	Initiative	IM	4.36	20	0.1570	4.0314	4.6887	N	08/2023	Incumbent
19-1023.00	1.C.2.b	Leadership	IM	3.99	20	0.2121	3.5458	4.4338	N	08/2023	Incumbent
19-1023.00	1.C.3.a	Cooperation	IM	4.48	20	0.1367	4.1936	4.7656	N	08/2023	Incumbent
19-1023.00	1.C.3.b	Concern for Others	IM	3.56	20	0.2265	3.0820	4.0300	N	08/2023	Incumbent
19-1023.00	1.C.3.c	Social Orientation	IM	2.72	20	0.2163	2.2668	3.1722	N	08/2023	Incumbent
19-1023.00	1.C.4.a	Self-Control	IM	3.86	20	0.1709	3.5016	4.2170	N	08/2023	Incumbent
19-1023.00	1.C.4.b	Stress Tolerance	IM	3.85	20	0.1714	3.4935	4.2111	N	08/2023	Incumbent
19-1023.00	1.C.4.c	Adaptability/Flexibility	IM	4.16	20	0.1754	3.7979	4.5320	N	08/2023	Incumbent
19-1023.00	1.C.5.a	Dependability	IM	4.31	20	0.1478	4.0025	4.6210	N	08/2023	Incumbent
19-1023.00	1.C.5.b	Attention to Detail	IM	4.29	20	0.1564	3.9641	4.6186	N	08/2023	Incumbent
19-1023.00	1.C.5.c	Integrity	IM	4.43	20	0.1399	4.1353	4.7209	N	08/2023	Incumbent
19-1023.00	1.C.6	Independence	IM	4.01	20	0.1823	3.6248	4.3881	N	08/2023	Incumbent
19-1023.00	1.C.7.a	Innovation	IM	3.71	20	0.2421	3.1999	4.2134	N	08/2023	Incumbent
19-1023.00	1.C.7.b	Analytical Thinking	IM	4.11	20	0.2351	3.6167	4.6009	N	08/2023	Incumbent
19-1029.01	1.C.1.a	Achievement/Effort	IM	4.41	30	0.3380	3.7212	5.0000	N	07/2012	Incumbent
19-1029.01	1.C.1.b	Persistence	IM	4.51	30	0.2594	3.9789	5.0000	N	07/2012	Incumbent
19-1029.01	1.C.1.c	Initiative	IM	4.38	29	0.1837	3.9991	4.7518	N	07/2012	Incumbent
19-1029.01	1.C.2.b	Leadership	IM	3.67	29	0.3228	3.0077	4.3301	N	07/2012	Incumbent
19-1029.01	1.C.3.a	Cooperation	IM	3.98	30	0.0627	3.8532	4.1097	N	07/2012	Incumbent
19-1029.01	1.C.3.b	Concern for Others	IM	2.89	30	0.3764	2.1160	3.6555	N	07/2012	Incumbent
19-1029.01	1.C.3.c	Social Orientation	IM	2.85	29	0.3717	2.0854	3.6081	N	07/2012	Incumbent
19-1029.01	1.C.4.a	Self-Control	IM	3.30	30	0.2666	2.7576	3.8481	N	07/2012	Incumbent
19-1029.01	1.C.4.b	Stress Tolerance	IM	3.23	30	0.2960	2.6253	3.8362	N	07/2012	Incumbent
19-1029.01	1.C.4.c	Adaptability/Flexibility	IM	4.31	30	0.2420	3.8186	4.8083	N	07/2012	Incumbent
19-1029.01	1.C.5.a	Dependability	IM	4.48	30	0.1816	4.1038	4.8465	N	07/2012	Incumbent
19-1029.01	1.C.5.b	Attention to Detail	IM	4.54	30	0.1997	4.1283	4.9453	N	07/2012	Incumbent
19-1029.01	1.C.5.c	Integrity	IM	4.49	30	0.2567	3.9687	5.0000	N	07/2012	Incumbent
19-1029.01	1.C.6	Independence	IM	4.45	30	0.2827	3.8738	5.0000	N	07/2012	Incumbent
19-1029.01	1.C.7.a	Innovation	IM	4.23	30	0.1532	3.9202	4.5470	N	07/2012	Incumbent
19-1029.01	1.C.7.b	Analytical Thinking	IM	4.85	30	0.1001	4.6413	5.0000	N	07/2012	Incumbent
19-1029.02	1.C.1.a	Achievement/Effort	IM	4.35	26	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1029.02	1.C.1.b	Persistence	IM	4.58	26	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1029.02	1.C.1.c	Initiative	IM	4.27	26	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1029.02	1.C.2.b	Leadership	IM	3.62	26	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1029.02	1.C.3.a	Cooperation	IM	4.42	26	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1029.02	1.C.3.b	Concern for Others	IM	3.38	26	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1029.02	1.C.3.c	Social Orientation	IM	2.62	26	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1029.02	1.C.4.a	Self-Control	IM	4.00	26	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1029.02	1.C.4.b	Stress Tolerance	IM	4.19	26	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1029.02	1.C.4.c	Adaptability/Flexibility	IM	4.00	26	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1029.02	1.C.5.a	Dependability	IM	4.38	26	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1029.02	1.C.5.b	Attention to Detail	IM	4.58	26	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1029.02	1.C.5.c	Integrity	IM	4.54	26	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1029.02	1.C.6	Independence	IM	3.75	24	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1029.02	1.C.7.a	Innovation	IM	3.96	26	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1029.02	1.C.7.b	Analytical Thinking	IM	4.52	25	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1029.03	1.C.1.a	Achievement/Effort	IM	4.44	25	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1029.03	1.C.1.b	Persistence	IM	4.48	25	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1029.03	1.C.1.c	Initiative	IM	4.28	25	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1029.03	1.C.2.b	Leadership	IM	3.48	25	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1029.03	1.C.3.a	Cooperation	IM	3.80	25	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1029.03	1.C.3.b	Concern for Others	IM	3.44	25	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1029.03	1.C.3.c	Social Orientation	IM	2.48	25	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1029.03	1.C.4.a	Self-Control	IM	3.44	25	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1029.03	1.C.4.b	Stress Tolerance	IM	3.60	25	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1029.03	1.C.4.c	Adaptability/Flexibility	IM	3.68	25	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1029.03	1.C.5.a	Dependability	IM	4.16	25	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1029.03	1.C.5.b	Attention to Detail	IM	4.72	25	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1029.03	1.C.5.c	Integrity	IM	4.80	25	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1029.03	1.C.6	Independence	IM	3.88	25	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1029.03	1.C.7.a	Innovation	IM	3.96	25	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1029.03	1.C.7.b	Analytical Thinking	IM	4.72	25	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
19-1029.04	1.C.1.a	Achievement/Effort	IM	3.84	19	0.1492	3.5240	4.1510	N	08/2025	Incumbent
19-1029.04	1.C.1.b	Persistence	IM	4.17	19	0.1090	3.9385	4.3963	N	08/2025	Incumbent
19-1029.04	1.C.1.c	Initiative	IM	4.01	19	0.2338	3.5220	4.5044	N	08/2025	Incumbent
19-1029.04	1.C.2.b	Leadership	IM	3.68	19	0.2769	3.0955	4.2590	N	08/2025	Incumbent
19-1029.04	1.C.3.a	Cooperation	IM	3.96	19	0.3868	3.1518	4.7770	N	08/2025	Incumbent
19-1029.04	1.C.3.b	Concern for Others	IM	3.73	19	0.1614	3.3932	4.0716	N	08/2025	Incumbent
19-1029.04	1.C.3.c	Social Orientation	IM	2.90	19	0.3690	2.1294	3.6800	N	08/2025	Incumbent
19-1029.04	1.C.4.a	Self-Control	IM	3.61	19	0.1353	3.3245	3.8928	N	08/2025	Incumbent
19-1029.04	1.C.4.b	Stress Tolerance	IM	3.87	18	0.1834	3.4837	4.2576	N	08/2025	Incumbent
19-1029.04	1.C.4.c	Adaptability/Flexibility	IM	4.13	19	0.1113	3.8970	4.3647	N	08/2025	Incumbent
19-1029.04	1.C.5.a	Dependability	IM	4.36	19	0.1459	4.0511	4.6643	N	08/2025	Incumbent
19-1029.04	1.C.5.b	Attention to Detail	IM	4.35	19	0.3169	3.6820	5.0000	N	08/2025	Incumbent
19-1029.04	1.C.5.c	Integrity	IM	4.78	19	0.1104	4.5482	5.0000	N	08/2025	Incumbent
19-1029.04	1.C.6	Independence	IM	4.05	19	0.2011	3.6323	4.4773	N	08/2025	Incumbent
19-1029.04	1.C.7.a	Innovation	IM	3.50	19	0.1580	3.1726	3.8364	N	08/2025	Incumbent
19-1029.04	1.C.7.b	Analytical Thinking	IM	4.16	19	0.1162	3.9206	4.4087	N	08/2025	Incumbent
19-1031.00	1.C.1.a	Achievement/Effort	IM	3.78	23	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
19-1031.00	1.C.1.b	Persistence	IM	3.95	22	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
19-1031.00	1.C.1.c	Initiative	IM	4.09	23	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
19-1031.00	1.C.2.b	Leadership	IM	3.57	23	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
19-1031.00	1.C.3.a	Cooperation	IM	4.13	23	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
19-1031.00	1.C.3.b	Concern for Others	IM	3.52	23	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
19-1031.00	1.C.3.c	Social Orientation	IM	2.78	23	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
19-1031.00	1.C.4.a	Self-Control	IM	3.61	23	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
19-1031.00	1.C.4.b	Stress Tolerance	IM	3.43	23	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
19-1031.00	1.C.4.c	Adaptability/Flexibility	IM	3.65	23	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
19-1031.00	1.C.5.a	Dependability	IM	4.30	23	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
19-1031.00	1.C.5.b	Attention to Detail	IM	4.13	23	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
19-1031.00	1.C.5.c	Integrity	IM	4.39	23	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
19-1031.00	1.C.6	Independence	IM	4.04	23	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
19-1031.00	1.C.7.a	Innovation	IM	3.27	22	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
19-1031.00	1.C.7.b	Analytical Thinking	IM	4.00	23	n/a	n/a	n/a	n/a	08/2022	Occupational Expert
19-1031.02	1.C.1.a	Achievement/Effort	IM	3.49	17	0.1630	3.1400	3.8312	N	08/2020	Incumbent
19-1031.02	1.C.1.b	Persistence	IM	3.85	17	0.2076	3.4053	4.2856	N	08/2020	Incumbent
19-1031.02	1.C.1.c	Initiative	IM	4.33	17	0.1276	4.0594	4.6005	N	08/2020	Incumbent
19-1031.02	1.C.2.b	Leadership	IM	4.08	17	0.2010	3.6584	4.5107	N	08/2020	Incumbent
19-1031.02	1.C.3.a	Cooperation	IM	4.24	17	0.1716	3.8792	4.6067	N	08/2020	Incumbent
19-1031.02	1.C.3.b	Concern for Others	IM	3.64	17	0.1743	3.2705	4.0096	N	08/2020	Incumbent
19-1031.02	1.C.3.c	Social Orientation	IM	2.72	17	0.2093	2.2766	3.1642	N	08/2020	Incumbent
19-1031.02	1.C.4.a	Self-Control	IM	3.92	17	0.2358	3.4196	4.4191	N	08/2020	Incumbent
19-1031.02	1.C.4.b	Stress Tolerance	IM	3.79	17	0.1735	3.4267	4.1625	N	08/2020	Incumbent
19-1031.02	1.C.4.c	Adaptability/Flexibility	IM	4.10	17	0.1523	3.7774	4.4231	N	08/2020	Incumbent
19-1031.02	1.C.5.a	Dependability	IM	4.38	17	0.1280	4.1056	4.6481	N	08/2020	Incumbent
19-1031.02	1.C.5.b	Attention to Detail	IM	4.07	17	0.2015	3.6405	4.4946	N	08/2020	Incumbent
19-1031.02	1.C.5.c	Integrity	IM	4.29	17	0.1654	3.9400	4.6411	N	08/2020	Incumbent
19-1031.02	1.C.6	Independence	IM	4.19	17	0.2012	3.7673	4.6205	N	08/2020	Incumbent
19-1031.02	1.C.7.a	Innovation	IM	3.76	17	0.1706	3.4015	4.1246	N	08/2020	Incumbent
19-1031.02	1.C.7.b	Analytical Thinking	IM	3.93	17	0.1586	3.5938	4.2661	N	08/2020	Incumbent
19-1031.03	1.C.1.a	Achievement/Effort	IM	3.49	24	0.2336	3.0114	3.9778	N	08/2023	Incumbent
19-1031.03	1.C.1.b	Persistence	IM	3.30	24	0.2058	2.8787	3.7302	N	08/2023	Incumbent
19-1031.03	1.C.1.c	Initiative	IM	3.41	24	0.2090	2.9758	3.8406	N	08/2023	Incumbent
19-1031.03	1.C.2.b	Leadership	IM	3.66	24	0.1826	3.2797	4.0354	N	08/2023	Incumbent
19-1031.03	1.C.3.a	Cooperation	IM	4.40	24	0.1447	4.0994	4.6982	N	08/2023	Incumbent
19-1031.03	1.C.3.b	Concern for Others	IM	4.31	24	0.2193	3.8592	4.7666	N	08/2023	Incumbent
19-1031.03	1.C.3.c	Social Orientation	IM	4.12	24	0.2836	3.5304	4.7037	N	08/2023	Incumbent
19-1031.03	1.C.4.a	Self-Control	IM	4.41	24	0.1961	4.0022	4.8136	N	08/2023	Incumbent
19-1031.03	1.C.4.b	Stress Tolerance	IM	4.06	24	0.2349	3.5720	4.5438	N	08/2023	Incumbent
19-1031.03	1.C.4.c	Adaptability/Flexibility	IM	4.04	24	0.1454	3.7398	4.3416	N	08/2023	Incumbent
19-1031.03	1.C.5.a	Dependability	IM	4.24	24	0.1557	3.9162	4.5602	N	08/2023	Incumbent
19-1031.03	1.C.5.b	Attention to Detail	IM	3.74	24	0.2197	3.2877	4.1966	N	08/2023	Incumbent
19-1031.03	1.C.5.c	Integrity	IM	4.59	24	0.0914	4.4035	4.7818	N	08/2023	Incumbent
19-1031.03	1.C.6	Independence	IM	3.56	24	0.1568	3.2390	3.8877	N	08/2023	Incumbent
19-1031.03	1.C.7.a	Innovation	IM	3.09	24	0.1817	2.7124	3.4641	N	08/2023	Incumbent
19-1031.03	1.C.7.b	Analytical Thinking	IM	3.17	24	0.1976	2.7647	3.5823	N	08/2023	Incumbent
19-1032.00	1.C.1.a	Achievement/Effort	IM	3.66	25	0.2335	3.1820	4.1460	N	08/2023	Incumbent
19-1032.00	1.C.1.b	Persistence	IM	3.73	25	0.3490	3.0137	4.4543	N	08/2023	Incumbent
19-1032.00	1.C.1.c	Initiative	IM	3.73	25	0.2579	3.1945	4.2590	N	08/2023	Incumbent
19-1032.00	1.C.2.b	Leadership	IM	3.62	25	0.2416	3.1182	4.1153	N	08/2023	Incumbent
19-1032.00	1.C.3.a	Cooperation	IM	4.22	25	0.2300	3.7451	4.6947	N	08/2023	Incumbent
19-1032.00	1.C.3.b	Concern for Others	IM	3.89	25	0.2663	3.3452	4.4445	N	08/2023	Incumbent
19-1032.00	1.C.3.c	Social Orientation	IM	3.07	25	0.2313	2.5904	3.5452	N	08/2023	Incumbent
19-1032.00	1.C.4.a	Self-Control	IM	3.88	25	0.0976	3.6758	4.0789	N	08/2023	Incumbent
19-1032.00	1.C.4.b	Stress Tolerance	IM	3.49	25	0.2350	3.0011	3.9713	N	08/2023	Incumbent
19-1032.00	1.C.4.c	Adaptability/Flexibility	IM	3.95	25	0.1533	3.6384	4.2713	N	08/2023	Incumbent
19-1032.00	1.C.5.a	Dependability	IM	4.28	25	0.2209	3.8283	4.7402	N	08/2023	Incumbent
19-1032.00	1.C.5.b	Attention to Detail	IM	3.86	25	0.2249	3.3994	4.3276	N	08/2023	Incumbent
19-1032.00	1.C.5.c	Integrity	IM	4.47	25	0.1374	4.1855	4.7528	N	08/2023	Incumbent
19-1032.00	1.C.6	Independence	IM	3.87	25	0.3381	3.1693	4.5648	N	08/2023	Incumbent
19-1032.00	1.C.7.a	Innovation	IM	3.18	25	0.2780	2.6015	3.7491	N	08/2023	Incumbent
19-1032.00	1.C.7.b	Analytical Thinking	IM	3.83	25	0.1653	3.4849	4.1672	N	08/2023	Incumbent
19-1041.00	1.C.1.a	Achievement/Effort	IM	4.00	18	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
19-1041.00	1.C.1.b	Persistence	IM	4.28	18	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
19-1041.00	1.C.1.c	Initiative	IM	4.44	18	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
19-1041.00	1.C.2.b	Leadership	IM	4.00	18	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
19-1041.00	1.C.3.a	Cooperation	IM	4.28	18	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
19-1041.00	1.C.3.b	Concern for Others	IM	3.50	18	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
19-1041.00	1.C.3.c	Social Orientation	IM	3.06	17	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
19-1041.00	1.C.4.a	Self-Control	IM	3.22	18	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
19-1041.00	1.C.4.b	Stress Tolerance	IM	3.56	18	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
19-1041.00	1.C.4.c	Adaptability/Flexibility	IM	3.83	18	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
19-1041.00	1.C.5.a	Dependability	IM	4.39	18	n/a	n/a	n/a	n/a	08/2023	Occupational Expert
